103_1241_000000_000000	CHAPTER II.	CHAPTER two.	false	0.81	23.25	18.930151
103_1241_000000_000001	Matthew Cuthbert is surprised	matthew Cuthbert is surprised	true	23.25	25.12	20
103_1241_000001_000000	Matthew Cuthbert and the sorrel mare jogged comfortably over the eight miles to Bright River.	matthew Cuthbert and the sorrel mare jogged comfortably over the eight miles to Bright River.	true	26.18	30.82	17
103_1241_000001_000001	It was a pretty road, running along between snug farmsteads, with now and again a bit of balsamy fir wood to drive through or a hollow where wild plums hung out their filmy bloom.	It was a pretty road, running along between snug farmsteads, with now and again a bit of balsamy fir wood to drive through or a hollow where wild plums hung out their filmy bloom.	true	31.01	41.23	17
103_1241_000001_000002	The air was sweet with the breath of many apple orchards and the meadows sloped away in the distance to horizon mists of pearl and purple; while	The air was sweet with the breath of many apple orchards and the meadows sloped away in the distance to horizon mists of pearl and purple; while	true	41.48	49.35	17
103_1241_000002_000000	"The little birds sang as if it were The one day of summer in all the year."	"The little birds sang as if it were The one day of summer in all the year."	true	49.35	53.14	12
103_1241_000003_000000	Matthew enjoyed the drive after his own fashion, except during the moments when he met women and had to nod to them--for in Prince Edward island you are supposed to nod to all and sundry you meet on the road whether you know them or not.	matthew enjoyed the drive after his own fashion, except during the moments when he met women and had to nod to them-for in Prince Edward island you are supposed to nod to all and sundry you meet on the road whether you know them or not.	true	53.6	64.81	17
103_1241_000004_000000	Matthew dreaded all women except Marilla and Mrs. Rachel; he had an uncomfortable feeling that the mysterious creatures were secretly laughing at him.	matthew dreaded all women except Marilla and mrs Rachel; he had an uncomfortable feeling that the mysterious creatures were secretly laughing at him.	true	65.3	73.84	17.532955
103_1241_000004_000001	He may have been quite right in thinking so, for he was an odd-looking personage, with an ungainly figure and long iron-gray hair that touched his stooping shoulders, and a full, soft brown beard which he had worn ever since he was twenty.	He may have been quite right in thinking so, for he was an odd looking personage, with an ungainly figure and long iron gray hair that touched his stooping shoulders, and a full, soft brown beard which he had worn ever since he was twenty.	true	73.88	86.83	15
103_1241_000004_000002	In fact, he had looked at twenty very much as he looked at sixty, lacking a little of the grayness.	In fact, he had looked at twenty very much as he looked at sixty, lacking a little of the grayness.	true	87.35	92.95	21.290556
103_1241_000005_000000	When he reached Bright River there was no sign of any train; he thought he was too early, so he tied his horse in the yard of the small Bright River hotel and went over to the station house.	When he reached Bright River there was no sign of any train; he thought he was too early, so he tied his horse in the yard of the small Bright River hotel and went over to the station house.	true	94.28	104.02	16
103_1241_000005_000001	The long platform was almost deserted; the only living creature in sight being a girl who was sitting on a pile of shingles at the extreme end.	The long platform was almost deserted; the only living creature in sight being a girl who was sitting on a pile of shingles at the extreme end.	true	104.15	111.46	16
103_1241_000005_000002	Matthew, barely noting that it WAS a girl, sidled past her as quickly as possible without looking at her.	matthew, barely noting that it WAS a girl, sidled past her as quickly as possible without looking at her.	true	111.71	117.13	17
103_1241_000005_000003	Had he looked he could hardly have failed to notice the tense rigidity and expectation of her attitude and expression.	Had he looked he could hardly have failed to notice the tense rigidity and expectation of her attitude and expression.	true	117.35	123.52	16
103_1241_000005_000004	She was sitting there waiting for something or somebody and, since sitting and waiting was the only thing to do just then, she sat and waited with all her might and main.	She was sitting there waiting for something or somebody and, since sitting and waiting was the only thing to do just then, she sat and waited with all her might and main.	true	123.74	133.21	15
103_1241_000006_000000	Matthew encountered the stationmaster locking up the ticket office preparatory to going home for supper, and asked him if the five-thirty train would soon be along.	matthew encountered the stationmaster locking up the ticket office preparatory to going home for supper, and asked him if the five thirty train would soon be along.	true	133.73	141.79	15
103_1241_000007_000000	"The five-thirty train has been in and gone half an hour ago," answered that brisk official.	"The five thirty train has been in and gone half an hour ago," answered that brisk official.	true	142.25	146.95	19
